tempo;danceability;energy;instrumentalness;liveness;valence
143.805;0,559722222;0,295833333;0;0,092361111;0,434722222
159.956;0,049305556;0,496527778;3.02E-06;0,200694444;0,311805556
119.923;0,497916667;0,302777778;0;00.11;0,271527778
153.006;0,05625;00.55;5.69E-06;0,074305556;0,127083333
179.954;0,479861111;0,524305556;0.00072;0,18125;0,229861111
127.115;0,401388889;0,500694444;0;0,228472222;0,459722222
183.016;0,04375;0,277083333;0,120833333;0,1625;0,45625
207.956;0,525;0,518055556;0;0,69375;0,550694444
187.742;0,558333333;0,293055556;1.41E-06;0,095138889;0,109027778
134.022;0,061805556;0,421527778;0.000228;0,081944444;0,155555556
157.09.00;0,513194444;0,28125;0,146527778;0,109722222;0,088194444
129.027;0,524305556;0,359027778;0;0,088194444;0,485416667
172.018;0,523611111;0,399305556;0.00131;0,191666667;0,340972222
155.053;0,525;0,313888889;2.99E-05;0,136111111;0,15
140.042;0,591666667;0,3;0;0,101388889;0,179166667
117.074;0,044444444;0,427083333;0;0,332638889;0,445833333
140.973;0,596527778;0,351388889;0;0,078472222;0,10625
145.139;0,527083333;0,390277778;0;0,679861111;0,490277778
142.047;0,642361111;0,399305556;0;0,072916667;0,114583333
167.656;0,377083333;0,460416667;0.000181;0,098611111;0,138194444
178.032;0,285416667;0,407638889;6.70E-06;0,570138889;0,529861111
155.188;0,440972222;0,550694444;0,51875;0,078472222;0,195138889
162.02.00;0,514583333;0,332638889;0;0,160416667;0,674305556
135.97;0,509027778;0,501388889;6.34E-06;0,077083333;00.29
173.369;0,411805556;0,438888889;0;0,044444444;0,547916667
113.995;0,53125;0,401388889;4.04E-06;00.12;0,445833333
139.987;0,521527778;0,222916667;0.00223;0,100694444;0,275
178.043;0,571527778;0,488194444;1.35E-06;0,204166667;00.26
161.856;0,215972222;0,442361111;5.20E-06;00.11;0,136805556
162.92;0,510416667;0,425694444;0;0,071527778;0,4625
143.043;0,602083333;0,359027778;0;00.31;0,188194444
118.018;0,60625;0,307638889;0;00.11;0,179861111
142.057;0,525;0,265277778;3.80E-06;0,084722222;0,290972222
155.034;0,363888889;0,058333333;0;0,106944444;0,275694444
132;0,575;0,532638889;0,168055556;0,082638889;0,35
162.13.00;0,374305556;0,358333333;0;00.11;0,222916667
200.072;0,278472222;0,511111111;0,396527778;0,1375;0,209027778
140.054;0,588888889;0,320138889;6.92E-05;0,650694444;00.29
140.068;00.55;0,325694444;0.000113;0,384722222;0,259722222
140.012;00.09;00.05;0.00111;0,077777778;0,4625
145.035;0,4625;0,434027778;0;0.058;00.11
210.106;0,546527778;0,399305556;7.09E-06;0,095833333;0,277083333
155.065;0,50625;0,565972222;0.00683;0,10625;0,198611111
140.919;0,522222222;0,374305556;0;0,225;0,254166667
169.97;0,475694444;0,056944444;0.000313;0,452083333;00.29
160.09.00;0,272916667;0,059722222;0;0,229861111;0,41875
141.934;0,504861111;0,24375;0,061805556;0,070138889;0,114583333
156.442;0,436805556;00.51;0;0,091666667;0,239583333
136.047;0,401388889;0,489583333;0.000399;0,570833333;0,23125
130.019;00.07;0,572916667;0,554166667;0,074305556;0,079861111
159.736;0,363194444;0,3875;0.00687;0,071527778;0,525694444
140.07.00;0,465972222;0,469444444;0;0,468055556;0,238194444
140.132;0,525;0,314583333;0;0,438888889;0,079166667
119.988;0,415277778;0,220833333;0;0,221527778;0,56875
115.039;0,675694444;0,309722222;1.75E-05;0,084027778;0,184027778
144.983;0,438194444;0,046527778;0,095833333;0,248611111;0,424305556
120.336;0,480555556;0,278472222;0.000932;0,501388889;00.33
219.95;0,397222222;0,425694444;0.000239;0,141666667;00.05
128.209;0,379166667;00.53;0;0,663194444;0,157638889
190.036;0,359027778;0,475694444;0,092361111;0,495138889;0,160416667
120;0,55;0,523611111;0.000863;0,114583333;0,174305556
146.966;0,378472222;0,438194444;0,424305556;0,149305556;0,150694444
183.529;0,377777778;0,563888889;0;0,334027778;0,470833333
116.014;0,429166667;0,150694444;0.000163;0,373611111;0,605555556
169.033;0,466666667;0,408333333;0,167361111;0,688888889;0,141666667
138.974;0,484722222;0,55;1.06E-06;0,086111111;0,442361111
111.97;0,511805556;0,245833333;0.000102;0,077083333;0,668055556
145.024;0,539583333;0,604861111;0;0,361805556;0,588888889
125.996;0,597916667;0,486805556;0;0,46875;0,359722222
125.948;0,297222222;0,523611111;0;0,094444444;0,273611111
155.019;0,461111111;0,4625;0,163194444;0,61875;0,355555556
149.936;0,44375;0,324305556;1.33E-05;0,070833333;0,132638889
124.996;0,45625;0,296527778;0;0,496527778;0,466666667
140.015;0,495138889;0,342361111;0.00134;0,089583333;0,123611111
159.921;0,452777778;0,390972222;0.00573;0,55625;0,073611111
164.066;0,45;0,406944444;0;0,120833333;00.18
145.005;0,36875;0,3625;0.00383;0,128472222;0,170833333
199.938;0,579166667;00.26;0,261111111;0,079166667;0,121527778
133.055;0,461805556;0,322916667;0;0,661111111;0,097916667
179.882;0,438888889;0,436805556;0;0,238888889;0,14375
190.002;0,467361111;0,179166667;0,440277778;0,638194444;0,077777778
153.97;0,440277778;0,365972222;1.79E-06;0,231944444;0,159027778
135.064;0,499305556;0,26875;0;0,079166667;00.17
211.994;0,370833333;0,404861111;0;0,292361111;0,100694444
145;0,421527778;0,475694444;0;00.12;0,440972222
142.155;0,36875;0,3625;0;0,103472222;0,106944444
129.942;0,439583333;0,471527778;0;0,125694444;0,165972222
177.97;0,617361111;00.46;0.000705;0,636805556;0,544444444
119.894;0,454861111;0,385416667;0,686111111;0,345833333;0.068
160.034;0,579166667;00.57;0;00.11;0,426388889
159.971;0,502083333;0,139583333;0.000424;0,086111111;0,186111111
182.158;0,360416667;0,463194444;0;0,420833333;0,439583333
169.898;00.54;0,624305556;4.90E-05;0,088194444;0,40625
155.148;0,330555556;0,600694444;0;0,075694444;0,231944444
159.967;0,518055556;0,30625;0,229861111;0.099;0,100694444
205.386;0,378472222;00.47;0.00119;0,073611111;0,24375
166.009;0,495138889;00.52;2.52E-06;0,075;0,1625
158.039;0,354861111;0,450694444;0;00.12;0,406944444
160.12.00;0,509722222;0,260416667;6.94E-06;0,640277778;0,127083333
128.988;0,589583333;0,275694444;0;0,077083333;0,1
149.013;0,345138889;0,418055556;0.000274;0,082638889;0,136805556
157.997;0,054861111;0,202083333;0.00638;0,075694444;00.03
216.04.00;0,49375;0,378472222;0;0,084722222;0,239583333
200.078;0,572222222;0,273611111;0;0,120138889;00.21
135.939;0,311111111;00.43;0,311111111;0,174305556;0,532638889
158.06.00;0,606944444;0,30625;0.00807;0,603472222;0,278472222
168.083;0,477083333;0,4125;0;0,163888889;0,302083333
145.046;0,4625;00.07;00.12;0,072916667;0,204166667
164.016;0,488194444;0,525694444;0;0,073611111;0,483333333
118.015;0,575694444;0,317361111;1.23E-05;0,536111111;0,178472222
130.075;0,499305556;0,320138889;2.03E-06;0,603472222;0,344444444
160.054;0,538888889;0,323611111;0;0,080555556;0,504166667
150.95;0,46875;00.59;0;0,101388889;00.29
159.987;0,504861111;0,280555556;0;0,479861111;0,211111111
180.04.00;0,539583333;0,508333333;0;0,103472222;0,070138889
122.989;0,601388889;0,350694444;0,171527778;0,627083333;0,172222222
124.992;0,441666667;0,398611111;0.00142;0,075;0,69375
141.928;0,561805556;0,503472222;0;0,178472222;0,40625
179.992;0,46875;0,436111111;0;0,602777778;0,354861111
112.058;0,596527778;0,403472222;0;0,563888889;0,186111111
153.923;0,475694444;0,358333333;0;0,579166667;0,13125
160.037;0,431944444;0,390972222;0;0,597916667;0,284027778
149.99;0,411111111;0,522916667;0;0,079166667;0,388194444
180.164;0,43125;0,380555556;0.00952;0,071527778;00.23
159.994;0,502777778;0,047222222;5.41E-06;0,081944444;0,171527778
219.992;0,427083333;0,468055556;0.000372;0,205555556;0,274305556
159.682;00.38;0,24375;6.07E-06;0,072222222;0,53125
158.932;0,44375;0,38125;0;0,086111111;0,163194444
124.985;0,383333333;0,467361111;0,134722222;0,186111111;0,070138889
119.968;0,495138889;0,4125;2.48E-05;0,274305556;0,248611111
119.973;0,436111111;0,536111111;0;0,079861111;0,519444444
140.031;0,448611111;0,318055556;0;00.23;0,354861111
123.069;0,519444444;0,439583333;1.16E-05;00.12;00.25
146.012;0,427083333;0,580555556;0,077777778;0,1375;0,304166667
170.055;0,481944444;0,49375;3.96E-05;0,088194444;0,185416667
167.82;0,315972222;0,388194444;0.000134;0,079861111;0,14375
179.912;0,503472222;0,404166667;1.91E-05;0,073611111;0,327083333
159.768;0,488194444;00.39;0;0,123611111;0,433333333
147.996;0,545833333;00.34;0;0,073611111;0,204166667
130.037;0,489583333;0,45;0.000595;0,259027778;0,276388889
142.966;0,532638889;0,622916667;2.51E-05;0,178472222;0,216666667
219.964;0,469444444;0,674305556;0,266666667;00.02;0,104861111
200.066;0,43125;0,675;3.33E-05;0,229861111;0,300694444
172.206;0,365972222;0,420138889;0;0,181944444;0,383333333
75.418;00.45;00.17;0,095833333;0.044;0,147916667
119.995;0,61875;0,414583333;0,177777778;0,659027778;0,0875
143.028;0,629166667;00.33;0.000328;0,072916667;0,182638889
179.435;00.31;0,575694444;0.000149;0,120833333;0.084
130.017;0,461111111;0,258333333;0;00.11;0,130555556
183.888;0,436805556;0,540277778;0,400694444;0,072916667;0,231944444
127.174;0,213888889;0,165277778;0.000312;00.11;0,105555556
159.939;0,436111111;0,371527778;0,64375;0,567361111;0,047222222
120.046;0,405555556;0,336805556;1.43E-05;0,075694444;0,235416667
142.271;00.57;0,574305556;4.15E-05;0,149305556;0,133333333
160.08.00;00.54;0,549305556;0;0,596527778;0,084027778
123.964;0,607638889;0,230555556;1.30E-06;0,613888889;00.38
140.014;0,575694444;0,571527778;0.00169;0,338194444;0,10625
